Title:               2-Month AA Financial Commercial Paper Rate
2006-06-01  5.21
2006-07-01  5.34
2006-08-01  5.27
2006-09-01  5.25
2006-10-01  5.23
2006-11-01  5.24
2006-12-01  5.24
2007-01-01  5.24
2007-02-01  5.23
2007-03-01  5.23
2007-04-01  5.24
2007-05-01  5.23
2007-06-01  5.24
2007-07-01  5.24
2007-08-01  5.28
2007-09-01  5.07
2007-10-01  4.79
2007-11-01  4.69
2007-12-01  4.66
2008-01-01  3.72
2008-02-01  2.95
2008-03-01  2.65
2008-04-01  2.61
2008-05-01  2.43
2008-06-01  2.53
2008-07-01  2.52
2008-08-01  2.54
2008-09-01  2.78
2008-10-01  2.96
2008-11-01  1.50
2008-12-01  0.83
2009-01-01  0.63
2009-02-01  0.62
2009-03-01  0.53
2009-04-01  0.35
2009-05-01  0.40
2009-06-01  0.33
2009-07-01  0.30
2009-08-01  0.23
2009-09-01  0.20
2009-10-01  0.17
2009-11-01  0.16
2009-12-01  0.16
2010-01-01  0.15
2010-02-01  0.18
2010-03-01  0.21
2010-04-01  0.28
2010-05-01  0.33
2010-06-01  0.36
2010-07-01  0.27
2010-08-01  0.23
2010-09-01  0.23
2010-10-01  0.22
2010-11-01  0.23
2010-12-01  0.23
2011-01-01  0.24
2011-02-01  0.23
2011-03-01  0.20
2011-04-01  0.17
2011-05-01  0.14
2011-06-01  0.13
2011-07-01  0.13
2011-08-01  0.18
2011-09-01  0.15
2011-10-01  0.15
2011-11-01  0.17
2011-12-01  0.10
2012-01-01  0.12
2012-02-01  0.13
2012-03-01  0.14
2012-04-01  0.15
2012-05-01  0.15
2012-06-01  0.16
2012-07-01  0.14
2012-08-01  0.16
2012-09-01  0.16
2012-10-01  0.16
2012-11-01  0.19
2012-12-01  0.13
2013-01-01  0.15
2013-02-01  0.12
2013-03-01  0.13
2013-04-01  0.13
2013-05-01  0.11
2013-06-01  0.10
2013-07-01  0.10
2013-08-01  0.09
2013-09-01  0.08
2013-10-01  0.12
2013-11-01  0.09
2013-12-01  0.10
2014-01-01  0.09
2014-02-01  0.11
2014-03-01  0.10
2014-04-01  0.09
2014-05-01  0.08
2014-06-01  0.08
2014-07-01  0.10
2014-08-01  0.11
2014-09-01  0.10
2014-10-01  0.10
2014-11-01  0.11
2014-12-01  0.14
2015-01-01  0.14
2015-02-01  0.12
2015-03-01  0.12
2015-04-01  0.10
2015-05-01  0.12
2015-06-01  0.14
2015-07-01  0.15
2015-08-01  0.20
2015-09-01  0.21
2015-10-01  0.19
2015-11-01  0.21
2015-12-01  0.40
2016-01-01  0.47
2016-02-01  0.47
2016-03-01  0.47
2016-04-01  0.47
2016-05-01  0.47
2016-06-01  0.47
2016-07-01  0.50
2016-08-01  0.56
2016-09-01  0.60
2016-10-01  0.60
2016-11-01  0.60
2016-12-01  0.73
